"ID","GeneName","Alias","GeneID"
253,"BCL11B",,64919
254,"CEBPA",,1050
255,"EZH2",,2146
256,"GNAS",,2778
257,"JUN",,3725
258,"MSH3",,4437
259,"PIK3CG",,5294
260,"SMARCA4",,6597
261,"TUSC3",,7991
262,"BCL2",,596
263,"CHD2",,1106
264,"FAF1",,11124
265,"GPR124",,25960
266,"KAT6A","(MYST3)",7994
267,"MSH6",,2956
268,"PIK3R1",,5295
269,"SMARCB1",,6598
270,"TYK2",,7297
271,"BCL2L2",,599
272,"CHEK1",,1111
273,"FAM46C",,54855
274,"GRIN2A",,2903
275,"KDM2B",,84678
276,"MTOR",,2475
277,"PIK3R2",,5296
278,"SMC1A",,8243
279,"U2AF1",,7307
280,"BCL6",,604
281,"CHEK2",,11200
282,"FANCA",,2175
283,"GSK3B",,2932
284,"KDM4C",,23081
285,"MUTYH",,4595
286,"PIM1",,5292
287,"SMC3",,9126
288,"U2AF2",,11338
289,"BCL7A",,605
290,"CIC",,23152
291,"FANCC",,2176
292,"GTSE1",,51512
293,"KDM5A",,5927
294,"MYC",,4609
295,"PLCG2",,5336
296,"SMO",,6608
297,"VHL",,7428
298,"BCOR",,54880
299,"CIITA",,4261
300,"FANCD2",,2177
301,"HDAC1",,3065
302,"KDM5C",,8242
303,"MYCL","(MYCL1)",4610
304,"POT1",,25913
305,"SOCS1",,8651
306,"WDR90",,197335
307,"BCORL1",,63035
308,"CKS1B",,1163
309,"FANCE",,2178
310,"HDAC4",,9759
311,"KDM6A",,7403
312,"MYCN",,4613
313,"PPP2R1A",,5518
314,"SOCS2",,8835
315,"WHSC1","(MMSET",7468
316,"BIRC3",,330
317,"CPS1",,1373
318,"FANCF",,2188
319,"HDAC7",,51564
320,"KDR",,3791
321,"MYD88",,4615
322,"PRDM1",,639
323,"SOCS3",,9021
324,"WISP3",,8838
325,"BLM",,641
326,"CREBBP",,1387
327,"FANCG",,2189
328,"HGF",,3082
329,"KEAP1",,9817
330,"MYO18A",,399687
331,"PRKAR1A",,5573
332,"SOX10",,6663
333,"WT1",,7490
334,"BRAF",,673
335,"CRKL",,1399
336,"FANCL",,55120
337,"HIST1H1C",,3006
338,"KIT",,3815
339,"NCOR2",,9612
340,"PRKDC",,5591
341,"SOX2",,6657
342,"XBP1",,7494
343,"BRCA1",,672
344,"CRLF2",,64109
345,"FAS","(TNFRSF6)",355
346,"HIST1H1D",,3007
347,"KLHL6",,89857
348,"NCSTN",,23385
349,"PRSS8",,5652
350,"SPEN",,23013
351,"XPO1",,7514
352,"BRCA2",,675
353,"CSF1R",,1436
354,"FBXO11",,80204
355,"HIST1H1E",,3008
356,"KMT2A","(MLL)",4297
357,"NF1",,4763
358,"PTCH1",,5727
359,"SPOP",,8405
360,"YY1AP1",,55249
361,"BRD4",,23476
362,"CSF3R",,1441
363,"FBXO31",,79791
364,"HIST1H2AC",,8334
365,"KMT2C","(MLL3)",58508
366,"NF2",,4771
367,"PTEN",,5728
368,"SRC",,6714
369,"ZMYM3",,9203
370,"BRIP1",,83990
371,"CTCF",,10664
372,"FBXW7",,55294
373,"HIST1H2AG",,8969
374,"KMT2D","(MLL2)",8085
375,"NFE2L2",,4780
376,"PTPN11",,5781
377,"SRSF2",,6427
378,"ZNF217",,7764
379,"BRSK1",,84446
380,"CTNNA1",,1495
381,"FGF10",,2255
382,"HIST1H2AL",,8332
383,"KRAS",,3845
384,"NFKBIA",,4792
385,"PTPN2",,5771
386,"STAG2",,10735
387,"ZNF24","(ZSCAN3)",7572
388,"BTG2",,7832
389,"CTNNB1",,1499
390,"FGF14",,2259
391,"HIST1H2AM",,8336
392,"LEF1",,51176
393,"NKX2-1",,7080
394,"PTPN6","(SHP-1)",5777
395,"STAT3",,6774
396,"ZNF703",,80139
397,"BTK",,695
398,"CUX1",,1523
399,"FGF19",,9965
400,"HIST1H2BC",,8347
401,"LRP1B",,53353
402,"NOD1",,10392
403,"PTPRO",,5800
404,"STAT4",,6775
405,"ZRSR2",,8233
406,"ALK",,238
407,"BRAF",,673
408,"EPOR",,2057
409,"ETV6",,2120
410,"IGK",,50802
411,"JAK2",,3717
412,"NTRK1",,4914
413,"RAF1",,5894
414,"ROS1",,6098
415,"BCL2",,596
416,"CCND1",,595
417,"ETV1",,2115
418,"EWSR1",,2130
419,"IGL",,3535
420,"KMT2A","(MLL)",4297
421,"PDGFRA",,5156
422,"RARA",,5914
423,"TMPRSS2",,7113
424,"BCL6",,604
425,"CRLF2",,64109
426,"ETV4",,2118
427,"FGFR2",,2263
428,"JAK1",,3716
429,"MYC",,4609
430,"PDGFRB",,5159
431,"RET",,5979
432,"TRG",,6965
433,"BCR",,613
434,"EGFR",,1956
435,"ETV5",,2119
436,"IGH",,3492
437,"ABI1",,10006
438,"CBFA2T3",,863
439,"EIF4A2",,1974
440,"FUS",,2521
441,"JAK1",,3716
442,"MUC1",,4582
443,"PBX1",,5087
444,"RNF213",,57674
445,"TET1",,80312
446,"ABL1",,25
447,"CBFB",,865
448,"ELF4",,2000
449,"GAS7",,8522
450,"JAK2",,3717
451,"MYB",,4602
452,"PCM1",,5108
453,"ROS1",,6098
454,"TFE3",,7030
455,"ABL2",,27
456,"CBL",,867
457,"ELL",,8178
458,"GLI1",,2735
459,"JAK3",,3718
460,"MYC",,4609
461,"PCSK7",,9159
462,"RPL22",,6146
463,"TFG",,10342
464,"ACSL6",,23305
465,"CCND1",,595
466,"ELN",,2006
467,"GMPS",,8833
468,"JAZF1",,221895
469,"MYH11",,4629
470,"PDCD1LG2","(PDL2)",80380
471,"RPN1",,6184
472,"TFPT",,29844
473,"AFF1",,4299
474,"CCND2",,894
475,"EML4",,27436
476,"GPHN",,10243
477,"KAT6A","(MYST3)",7994
478,"MYH9",,4627
479,"PDE4DIP",,9659
480,"RUNX1",,861
481,"TFRC",,7037
482,"AFF4",,27125
483,"CCND3",,896
484,"EP300",,2033
485,"HERPUD1",,9709
486,"KDSR",,2531
487,"NACA",,4666
488,"PDGFB",,5155
489,"RUNX1T1","(ETO)",862
490,"TLX1",,3195
491,"ALK",,238
492,"CD274","(PDL1)",29126
493,"EPOR",,2057
494,"HEY1",,23462
495,"KIF5B",,3799
496,"NBEAP1","(BCL8)",606
497,"PDGFRA",,5156
498,"RUNX2",,860
499,"TLX3",,30012
500,"ARHGAP26","(GRAF)",23092
501,"CDK6",,1021
502,"EPS15",,2060
503,"HIP1",,3092
504,"KMT2A","(MLL)",4297
505,"NCOA2",,10499
506,"PDGFRB",,5159
507,"SEC31A",,22872
508,"TMPRSS2",,7113
509,"ARHGEF12",,23365
510,"CDX2",,1045
511,"ERBB2",,2064
512,"HIST1H4I",,8294
513,"LASP1",,3927
514,"NDRG1",,10397
515,"PER1",,5187
516,"SEPT5",,5413
517,"TNFRSF11A",,8792
518,"ARID1A",,8289
519,"CHIC2",,26511
520,"ERG",,2078
521,"HLF",,3131
522,"LCP1",,3936
523,"NF1",,4763
524,"PHF1",,5252
525,"SEPT6",,23157
526,"TOP1",,7150
527,"ARNT",,405
528,"CHN1",,1123
529,"ETS1",,2113
530,"HMGA1",,3159
531,"LMO1",,4004
532,"NF2",,4771
533,"PICALM",,8301
534,"SEPT9",,10801
535,"TP63",,8626
536,"ASXL1",,171023
537,"CIC",,23152
538,"ETV1",,2115
539,"HMGA2",,8091
540,"LMO2",,4005
541,"NFKB2",,4791
542,"PIM1",,5292
543,"SET",,6418
544,"TPM3",,7170
545,"ATF1",,466
546,"CIITA",,4261
547,"ETV4",,2118
548,"HOXA11",,3207
549,"LPP",,4026
550,"NIN",,51199
551,"PLAG1",,5324
552,"SH3GL1",,6455
553,"TPM4",,7171
554,"ATG5",,9474
555,"CLP1",,10978
556,"ETV5",,2119
557,"HOXA13",,3209
558,"LYL1",,4066
559,"NOTCH1",,4851
560,"PML",,5371
561,"SLC1A2",,6506
562,"TRIM24",,8805
563,"ATIC",,471
564,"CLTC",,1213
565,"ETV6",,2120
566,"HOXA3",,3200
567,"MAF",,4094
568,"NPM1",,4869
569,"POU2AF1",,5450
570,"SNX29","(RUND-C2A)",92017
571,"TRIP11",,9321
572,"BCL10",,8915
573,"CLTCL1",,8218
574,"EWSR1",,2130
575,"HOXA9",,3205
576,"MAFB",,9935
577,"NR4A3",,8013
